Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Date
ClassyBeef,558883590,273660,33624,1941,108623,88671,6626543,FALSE,TRUE,English,2018-12-19 12:59
Diegosaurs,558587535,128580,32463,4150,521201,270255,9851921,TRUE,TRUE,English,2014-10-26 4:36
BobRoss,558170835,238035,11659,2175,1519266,216326,7491995,TRUE,FALSE,English,2015-10-28 16:13
Nick28T,556741020,183660,15155,3024,977377,78054,6777975,TRUE,TRUE,English,2013-09-21 20:10
nokduro,555637890,140670,15858,4040,165823,95603,9518923,TRUE,FALSE,Korean,2016-10-22 23:47
GMHikaru,554249955,68355,46106,7155,505361,425023,20086431,TRUE,FALSE,English,2015-09-29 10:35
SkipNhO,553663800,131580,23408,3875,1076499,281967,13901197,TRUE,FALSE,Portuguese,2014-06-03 0:31
jovirone,553283745,96450,29272,5632,1089830,300545,17980307,TRUE,FALSE,Portuguese,2013-12-15 3:19
Chap,550951215,157545,22571,3430,1272899,273926,13683195,TRUE,FALSE,English,2018-01-24 23:00
kimdoe,549244755,134985,11759,4062,287639,10062,14188002,TRUE,TRUE,Korean,2015-09-23 8:55
RebirthzTV,548041425,118920,14578,4629,276694,76546,8434367,TRUE,FALSE,Thai,2013-10-05 22:37
Klean,545108145,169605,101124,2801,276242,154466,7844435,TRUE,FALSE,English,2016-06-10 18:50
godjj,544706325,126705,12461,4378,331744,19325,20264128,TRUE,FALSE,Chinese,2010-04-03 6:11
Gladd,543954570,171195,54477,2779,337972,157424,9290817,TRUE,FALSE,English,2015-02-02 17:47
CSRuHub,540556545,110880,106003,5044,511431,121099,23271913,TRUE,FALSE,Russian,2016-02-19 15:59
CriticalRole,539495145,21300,110800,17689,571210,237069,7827030,TRUE,FALSE,English,2018-06-08 21:13
Vinesauce,536989080,86790,19065,6125,442493,80616,5560969,TRUE,TRUE,English,2011-10-26 18:26
lol_woolf,532969650,50910,73800,9633,308528,141297,9294132,TRUE,FALSE,Korean,2017-01-31 14:21
Mithrain,530456265,105540,40183,4990,1258713,371005,24222810,TRUE,FALSE,Turkish,2015-01-10 17:26
